Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Star Wars: Episode VII - The Force Awakens,"$2,068,223,624","$936,662,225",54.7%,"$1,131,561,399"
2,Jurassic World,"$1,670,400,637","$652,270,625",61%,"$1,018,130,012"
3,Furious 7,"$1,515,047,671","$353,007,020",76.7%,"$1,162,040,651"
4,Avengers: Age of Ultron,"$1,402,805,868","$459,005,868",67.3%,"$943,800,000"
5,Minions,"$1,159,398,397","$336,045,770",71%,"$823,352,627"
6,Spectre,"$880,674,609","$200,074,609",77.3%,"$680,600,000"
7,Inside Out,"$857,611,174","$356,461,711",58.4%,"$501,149,463"
8,Mission: Impossible - Rogue Nation,"$682,714,267","$195,042,377",71.4%,"$487,671,890"
9,The Hunger Games: Mockingjay - Part 2,"$658,344,137","$281,723,902",57.2%,"$376,620,235"
10,The Martian,"$630,161,890","$228,433,663",63.8%,"$401,728,227"
11,Fifty Shades of Grey,"$569,651,467","$166,167,230",70.8%,"$403,484,237"
12,Cinderella,"$542,351,353","$201,151,353",62.9%,"$341,200,000"
13,The Revenant,"$532,950,503","$183,637,894",65.5%,"$349,312,609"
14,Ant-Man,"$519,311,965","$180,202,163",65.3%,"$339,109,802"
15,Hotel Transylvania 2,"$474,800,000","$169,700,110",64.3%,"$305,099,890"
16,San Andreas,"$473,990,832","$155,190,832",67.3%,"$318,800,000"
17,Terminator Genisys,"$440,603,537","$89,760,956",79.6%,"$350,842,581"
18,Kingsman: The Secret Service,"$414,351,546","$128,261,724",69%,"$286,089,822"
19,Monster Hunt,"$387,053,506","$32,766",100%,"$387,020,740"
20,Home,"$386,041,607","$177,397,510",54%,"$208,644,097"
21,Mad Max: Fury Road,"$374,736,354","$153,636,354",59%,"$221,100,000"
22,The Good Dinosaur,"$332,207,671","$123,087,120",62.9%,"$209,120,551"
23,Taken 3,"$326,479,141","$89,256,424",72.7%,"$237,222,717"
24,The SpongeBob Movie: Sponge Out of Water,"$325,186,032","$162,994,032",49.9%,"$162,192,000"
25,Maze Runner: The Scorch Trials,"$312,296,056","$81,697,192",73.8%,"$230,598,864"
26,The Divergent Series: Insurgent,"$297,002,527","$130,179,072",56.2%,"$166,823,455"
27,Pitch Perfect 2,"$287,144,079","$184,296,230",35.8%,"$102,847,849"
28,Mojin: The Lost Legend,"$259,368,448","$1,243,810",99.5%,"$258,124,638"
29,Lost in Hong Kong,"$256,283,912","$1,302,281",99.5%,"$254,981,631"
30,The Peanuts Movie,"$246,233,113","$130,178,411",47.1%,"$116,054,702"
31,Pixels,"$244,874,809","$78,747,585",67.8%,"$166,127,224"
32,Daddy's Home,"$242,786,137","$150,357,137",38.1%,"$92,429,000"
33,Spy,"$235,666,219","$110,825,712",53%,"$124,840,507"
34,Alvin and the Chipmunks: The Road Chip,"$234,798,636","$85,886,987",63.4%,"$148,911,649"
35,Goodbye Mr. Loser,"$228,122,928","$1,293,626",99.4%,"$226,829,302"
36,Ted 2,"$215,863,606","$81,476,385",62.3%,"$134,387,221"
37,Tomorrowland,"$209,035,668","$93,436,322",55.3%,"$115,599,346"
38,Everest,"$203,427,584","$43,482,270",78.6%,"$159,945,314"
39,Straight Outta Compton,"$201,634,991","$161,197,785",20.1%,"$40,437,206"
40,The Intern,"$194,564,672","$75,764,672",61.1%,"$118,800,000"
41,Jian Bing Man,"$186,683,536",-,100%,"$186,683,536"
42,Jupiter Ascending,"$183,887,723","$47,387,723",74.2%,"$136,500,000"
43,Creed,"$173,567,581","$109,767,581",36.8%,"$63,800,000"
44,Fantastic Four,"$167,882,881","$56,117,548",66.6%,"$111,765,333"
