Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Captain America: Civil War,"$1,153,296,293","$408,084,349",64.6%,"$745,211,944"
2,Rogue One: A Star Wars Story,"$1,056,057,273","$532,177,324",49.6%,"$523,879,949"
3,Finding Dory,"$1,028,570,889","$486,295,561",52.7%,"$542,275,328"
4,Zootopia,"$1,023,784,195","$341,268,248",66.7%,"$682,515,947"
5,The Jungle Book,"$966,550,600","$364,001,123",62.3%,"$602,549,477"
6,The Secret Life of Pets,"$875,457,937","$368,384,330",57.9%,"$507,073,607"
7,Batman v Superman: Dawn of Justice,"$873,634,919","$330,360,194",62.2%,"$543,274,725"
8,Fantastic Beasts and Where to Find Them,"$814,037,575","$234,037,575",71.2%,"$580,000,000"
9,Deadpool,"$782,612,155","$363,070,709",53.6%,"$419,541,446"
10,Suicide Squad,"$746,846,894","$325,100,054",56.5%,"$421,746,840"
11,Doctor Strange,"$677,718,395","$232,641,920",65.7%,"$445,076,475"
12,Moana,"$643,331,111","$248,757,044",61.3%,"$394,574,067"
13,Sing,"$634,151,679","$270,395,425",57.4%,"$363,756,254"
14,The Mermaid,"$553,810,228","$3,232,685",99.4%,"$550,577,543"
15,X-Men: Apocalypse,"$543,934,105","$155,442,489",71.4%,"$388,491,616"
16,Kung Fu Panda 3,"$521,170,825","$143,528,619",72.5%,"$377,642,206"
17,La La Land,"$447,407,695","$151,101,803",66.2%,"$296,305,892"
18,Warcraft,"$439,048,914","$47,365,290",89.2%,"$391,683,624"
19,Jason Bourne,"$415,484,914","$162,434,410",60.9%,"$253,050,504"
20,Ice Age: Collision Course,"$408,579,038","$64,063,008",84.3%,"$344,516,030"
21,Independence Day: Resurgence,"$389,681,935","$103,144,286",73.5%,"$286,537,649"
22,Your Name.,"$357,986,087","$5,017,246",98.6%,"$352,968,841"
23,The Legend of Tarzan,"$356,700,357","$126,643,061",64.5%,"$230,057,296"
24,The Angry Birds Movie,"$352,333,929","$107,509,366",69.5%,"$244,824,563"
25,Trolls,"$346,864,462","$153,707,064",55.7%,"$193,157,398"
26,Star Trek Beyond,"$343,471,816","$158,848,340",53.8%,"$184,623,476"
27,The Great Wall,"$334,933,831","$45,540,830",86.4%,"$289,393,001"
28,Now You See Me 2,"$334,897,606","$65,075,540",80.6%,"$269,822,066"
29,The Conjuring 2,"$320,392,818","$102,470,008",68%,"$217,922,810"
30,Resident Evil: The Final Chapter,"$312,242,626","$26,830,068",91.4%,"$285,412,558"
31,Dangal,"$303,723,636","$12,391,761",95.9%,"$291,331,875"
